id,name_mkcr,name_arup,abbrv_aiscr
22891161,ARCHA 13 o.p.s.,Archa 13,ARCHA 13
45245932,"Archaia, o. s.",Archaia,Archaia
26268469,"ARCHAIA Brno, z.ú.","ARCHAIA Brno, z.ú.",Archaia Brno
26108470,"ARCHAIA Jih,o.p.s.","ARCHAIA Jih,o.p.s.",Archaia Jih
27713725,Archaia Olomouc z.ú.,"Archaia Olomouc, o.p.s.",Archaia Olomouc
26701227,"ARCHAIA Praha, o.p.s.","ARCHAIA Praha, o.p.s.",Archaia Praha
27448657,"Archeo Pro, o.p.s.","Archeo Pro, o.p.s.",Archeo Pro
60165171,ARCHEO Sever o.p.s.,Archeo Sever,ARCHEO Sever
28184653,"ARCHEOCENTRUM – Institut pro archeologii a památkovou péči středních Čech, o.p.s.",ARCHEOCENTRUM – Institut pro archeologii a památkovou péči středních Čech,Archeocentrum
26387140,"Archeologická společnost, o.p.s. ","Archeologická společnost, o.p.s.",Archeologická společnost
75008271,Archeologické centrum Olomouc ,Archeologické centrum Olomouc,Archeologické centrum Olomouc
68081758,"Archeologický ústav AV ČR Brno, v.v.i.","Archeologický ústav AV ČR Brno, v.v.i.",Archeologický ústav Brno
67985912,"Archeologický ústav AV ČR Praha, v.v.i.","Archeologický ústav AV ČR Praha, v.v.i.",Archeologický ústav Praha
63914344,Archeos,Archeos,Archeos
28458681,"Česká společnost archeologická, o.p.s.",Česká společnost archeologická,Česká společnost archeologická
342246,"České muzeum stříbra, Kutná Hora","České muzeum stříbra, Kutná Hora",Muzeum Kutná Hora
360121,Hornické muzeum Příbram,Hornické muzeum Příbram,Muzeum Příbram
72486,Husitské muzeum v Táboře,Husitské muzeum v Táboře,Muzeum Tábor
60076658,Jihočeská univerzita v Českých Budějovicích,Jihočeská univerzita v Českých Budějovicích,JČU České Budějovice - Filozofická fakulta
73539,Jihočeské muzeum v Českých Budějovicích,Jihočeské muzeum v Českých Budějovicích,Muzeum České Budějovice
92738,Jihomoravské muzeum Znojmo,Jihomoravské muzeum Znojmo,Muzeum Znojmo
72053810,Muzeum Karlovy Vary Karlovarského kraje,Karlovarské muzeum,Muzeum Karlovy Vary
74276,Krajské muzeum Cheb Karlovarského kraje,Krajské muzeum Cheb,Muzeum Cheb
27573486,"Labrys, o.p.s.","Labrys, o.p.s.",Labrys
216224,Masarykova univerzita,Masarykova univerzita,
90352,Masarykovo muzeum v Hodoníně,Masarykovo muzeum v Hodoníně,Muzeum Hodonín
49558676,"Městská kulturní zařízení Hranice, p.o. - Muzeum a galerie v Hranicích",Městské muzeum a galerie v Hranicích,Muzeum Hranice
60680920,Městské muzeum a galerie Břeclav,Městské muzeum a galerie v Břeclavi,Muzeum Břeclav
,Městské muzeum Bystřice nad Pernštejnem,,Muzeum Bystřice n. P.
175722,Městské muzeum v Čelákovicích,Městské muzeum v Čelákovicích,Muzeum Čelákovice
374652,Milevské muzeum,Milevské muzeum,Muzeum Milevsko
60162694,"Vojenský historický ústav Praha (ČR, Ministerstvo obrany)",Ministerstvo obrany – Vojenský historický ústav Praha,Vojenský historický ústav
94862,Moravské zemské muzeum v Brně,Moravské zemské muzeum v Brně,Moravské zemské muzeum
371149,Muzeum a galerie Orlických hor v Rychnově nad Kněžnou,Muzeum a galerie Orlických hor v Rychnově nad Kněžnou,Muzeum Rychnov n. Kn.
368563,Muzeum a galerie severního Plzeňska,Muzeum a galerie severního Plzeňska,Muzeum Mariánská Týnice
95630,Muzeum Beskyd Frýdek - Místek,Muzeum Beskyd Frýdek – Místek,Muzeum Beskyd
4551320,"Muzeum Blanenska, příspěvková organizace",,Muzeum Blansko
387142,"Muzeum regionu Boskovicka, příspěvková organizace",Muzeum Boskovicka,Muzeum Boskovice
89257,Muzeum Brněnska,Muzeum Brněnska,Muzeum Brněnska
65293,Muzeum Českého krasu v Berouně,Muzeum Českého krasu v Berouně,Muzeum Beroun
76716,Muzeum Českého lesa v Tachově,Muzeum Českého lesa v Tachově,Muzeum Tachov
85804,Muzeum Českého ráje v Turnově,Muzeum Českého ráje v Turnově,Muzeum Turnov
64432,Muzeum hl. m. Prahy,Muzeum hl. m. Prahy,Muzeum hl. m. Prahy
73873,Muzeum Chodska v Domažlicích,Muzeum Chodska,Muzeum Domažlice
89982,Muzeum jihovýchodní Moravy ve Zlíně,Muzeum jihovýchodní Moravy ve Zlíně,Muzeum Zlín
70971,Muzeum Jindřichohradecka,Muzeum Jindřichohradecka,Muzeum Jindřichův Hradec
75710,Muzeum jižního Plzeňska v Blovicích,Muzeum jižního Plzeňska v Blovicích,Muzeum Blovice
97969,Muzeum Komenského v Přerově,Muzeum Komenského v Přerově,Muzeum Přerov
91138,Muzeum Kroměřížska,Muzeum Kroměřížska,Muzeum Kroměříž
101427,Muzeum města Brna,Muzeum města Brna,Muzeum města Brna
361321,Muzeum města Ústí nad Labem,Muzeum města Ústí nad Labem,Muzeum Ústí n. L.
353639,Muzeum Mladoboleslavska,Muzeum Mladoboleslavska,Muzeum Mladá Boleslav
96296,Muzeum Novojíčínska,Muzeum Novojíčínska,Muzeum Nový Jičín
65048,Muzeum Podblanicka,Muzeum Podblanicka,Muzeum Vlašim/Benešov
75119153,Muzeum Podkrkonoší v Trutnově,Muzeum Podkrkonoší v Trutnově,Muzeum Trutnov
91405,Muzeum Prostějovska v Prostějově,Muzeum Prostějovska v Prostějově,Muzeum Prostějov
98574,Muzeum regionu Valašsko,Muzeum regionu Valašsko,Muzeum Vsetín
72150,Muzeum středního Pootaví Strakonice,Muzeum středního Pootaví Strakonice,Muzeum Strakonice
360155,Muzeum T.G.M Rakovník,Muzeum T.G.M Rakovník,Muzeum Rakovník
305847,Muzeum Těšínska,Muzeum Těšínska,Muzeum Český Těšín
88382,Muzeum východních Čech v Hradci Králové,Muzeum východních Čech v Hradci Králové,Muzeum Hradec Králové
83607,Muzeum Vysočiny Havlíčkův Brod,Muzeum Vysočiny Havlíčkův Brod,Muzeum Havlíčkův Brod
71307,Muzeum Vysočiny Pelhřimov,Muzeum Vysočiny Pelhřimov,Muzeum Pelhřimov
91766,Muzeum Vysočiny Třebíč,Muzeum Vysočiny Třebíč,Muzeum Třebíč
90735,Muzeum Vysočiny v Jihlavě,Muzeum Vysočiny v Jihlavě,Muzeum Jihlava
92401,Muzeum Vyškovska ve Vyškově,Muzeum Vyškovska ve Vyškově,Muzeum Vyškov
23272,Národní muzeum v Praze,Národní muzeum v Praze,Národní muzeum
75032333,Národní památkový ústav,Národní památkový ústav,
,Národní technické muzeum,,Národní technické muzeum
75075741,Národní zemědělské muzeum,Národní zemědělské muzeum,
27057895,Naše historie o.s.,,Naše historie
67539,Oblastní muzeum Praha - východ; Brandýs nad Labem - Stará Boleslav,Oblastní muzeum Praha – východ; Brandýs nad Labem – Stará Boleslav,Muzeum Brandýs n. L.
360571,Oblastní muzeum v Chomutově,Oblastní muzeum v Chomutově,Muzeum Chomutov
360635,Oblastní muzeum v Litoměřicích,Oblastní muzeum v Litoměřicích,Muzeum Litoměřice
360716,Oblastní muzeum v Lounech,Oblastní muzeum v Lounech,Muzeum Louny
278955,Město Choceň - org. složka Orlické muzeum v Chocni) ,Orlické muzeum v Chocni,Muzeum Choceň
97594,Ostravské muzeum,Ostravské muzeum,Muzeum Ostrava
68435002,Podřipské muzeum,Podřipské muzeum Karla Rozuma,Muzeum Roudnice n. L.
69841,Polabské muzeum Poděbrady,Polabské muzeum Poděbrady,Muzeum Poděbrady
71854,Prachatické muzeum,Prachatické muzeum,Muzeum Prachatice
367851,Prácheňské muzeum v Písku,Prácheňské muzeum v Písku,Muzeum Písek
289 66 465,"Pueblo - archeologická společnost, o.p.s.","Pueblo – archeologická společnost, o.p.s.",Pueblo
84549,Regionální muzeum a galerie Jičín,Regionální muzeum a galerie Jičín,Muzeum Jičín
360805,Regionální muzeum K. A. Polánka v Žatci,Regionální muzeum K. A. Polánka v Žatci,Muzeum Žatec
66567,Regionální muzeum Mělník,Regionální muzeum Mělník,Muzeum Mělník
84930,Regionální muzeum Náchod,Regionální muzeum Náchod,Muzeum Náchod
70572,Regionální muzeum v Českém Krumlově,Regionální muzeum v Českém Krumlově,Muzeum Český Krumlov
410047,Regionální muzeum v Kolíně,Regionální muzeum v Kolíně,Muzeum Kolín
71191283,Regionální muzeum v Litomyšli,Regionální muzeum v Litomyšli,Muzeum Litomyšl
89613,Regionální muzeum v Mikulově,Regionální muzeum v Mikulově,Muzeum Mikulov
83241,Regionální muzeum v Teplicích,Regionální muzeum v Teplicích,Muzeum Teplice
370941,Regionální muzeum v Chrudimi,Regionální muzeum v Chrudimi,Muzeum Chrudim
372331,Regionální muzeum ve Vysokém Mýtě,Regionální muzeum ve Vysokém Mýtě,Muzeum Vysoké Mýto
83232,Severočeské muzeum v Liberci,Severočeské muzeum v Liberci,Muzeum Liberec
47813059,Slezská univerzita v Opavě,Slezská univerzita v Opavě,SU Opava - Filozoficko-přírodovědecká fakulta
100595,Slezské zemské muzeum,Slezské zemské muzeum,Muzeum Opava
92126,Slovácké muzeum v Uherském  Hradišti,Slovácké muzeum v Uherském  Hradišti,Muzeum Uherské Hradiště
88455,Správa Krkonošského národního parku,,Muzeum Vrchlabí
69850,Středočeské muzeum Roztoky u Prahy,Středočeské muzeum Roztoky u Prahy,Muzeum Roztoky
22736328,"Syrakus, z.s.","Syrakus, o.s.",Syrakus
101435,Technické muzeum v Brně,Technické muzeum v Brně,Technické muzeum v Brně
62690094,Univerzita Hradec Králové,Univerzita Hradec Králové,UHK - Filozofická fakulta
216208,"Univerzita Karlova v Praze, Filosofická fakulta, Ústav pro pravěk a ranou dobu dějinnou","Univerzita Karlova, Filozofická fakulta, Ústav pro archeologii",
61989592,Univerzita  Palackého v Olomouci,Univerzita Palackého v Olomouci,UP Olomouc - Filozofická fakulta
48511005,"Ústav archeologické památkové péče Brno, v.v.i.","Ústav archeologické památkové péče Brno, v.v.i.",ÚAPP Brno
47325011,"Ústav archeologické památkové péče severozápadních Čech, v.v.i.","Ústav archeologické památkové péče severozápadních Čech, v.v.i.",ÚAPPSZČ Most
49276433,Ústav archeologické památkové péče středních Čech,Ústav archeologické památkové péče středních Čech,ÚAPPSČ Praha
360198,Vlastivědné muzeum a galerie v České Lípě,Vlastivědné muzeum a galerie v České Lípě,Muzeum Česká Lípa
75078,Vlastivědné muzeum Dr. Hostaše v Klatovech,Vlastivědné muzeum Dr. Hostaše v Klatovech,Muzeum Klatovy
64095410,Vlastivědné muzeum Jesenicka,,Muzeum Jeseník
100609,Vlastivědné muzeum v Olomouci,Vlastivědné muzeum v Olomouci,Muzeum Olomouc
98311,Vlastivědné muzeum v Šumperku,Vlastivědné muzeum v Šumperku,Muzeum Šumperk
14450542,Východočeské muzeum v Pardubicích ,Východočeské muzeum v Pardubicích,Muzeum Pardubice
49777513,Západočeská univerzita v Plzni - Katedra archeol. FHS ZČU v Plzni,Západočeská univerzita v Plzni – Katedra archeol. FHS ZČU v Plzni,ZČU Plzeň - Filozofická fakulta
228745,Západočeské muzeum v Plzni,Západočeské muzeum v Plzni,Muzeum Plzeň
26324105,"ZIP-Západočeský institut pro ochranu a dokumentaci památek, o.p.s.","ZIP-Západočeský institut pro ochranu a dokumentaci památek, o.p.s.",ZIP Plzeň
,"ArcheoBohemia o.p.s.,",,ArcheoBohemia [zaniklé]
